Timing Resolution (pulses per quarter note)
4

Instrument,105,Banjo,Instrument,114,Steel Drum,Instrument,71,Clarinet

Tick,Note (0-127),Velocity (0-127),Tick,Note (0-127),Velocity (0-127),Tick,Note (0-127),Velocity (0-127)
0,60,90,5,60,90,10,80,100
1,65,90,5,64,90,11,82,100
2,69,90,5,67,90,,,
3,72,90,5,72,90,,,
4,73,90,15,53,90,,,
5,72,90,15,65,90,,,
6,69,90,15,68,90,,,
7,65,90,15,73,90,,,
8,60,90,25,55,90,,,
9,55,90,25,64,90,,,
10,51,90,25,67,90,,,
11,48,90,25,72,90,,,
12,48,90,35,65,90,51,82,0
13,48,90,35,71,90,40,80,120
14,51,90,45,48,90,41,80,0
15,55,90,45,64,90,,,
16,60,90,45,67,90,,,
17,65,90,45,72,90,,,
18,69,90,50,50,0,,,
19,72,90,,,,,,
20,73,90,,,,20,80,120
21,72,90,,,,20,82,120
22,69,90,,,,30,80,0
23,65,90,,,,,,
24,60,90,,,,51,80,0
25,55,90,,,,,,
26,51,90,,,,,,
27,48,90,,,,31,82,0
28,48,90,,,,,,
29,48,90,,,,,,
30,51,90,,,,,,
31,55,90,,,,,,
32,60,90,,,,,,
33,65,90,,,,,,
34,69,90,,,,,,
35,72,90,,,,,,
36,73,90,,,,,,
37,72,90,,,,,,
38,69,90,,,,,,
39,65,90,,,,,,
40,60,90,,,,,,
41,55,90,,,,,,
42,51,90
43,48,90
44,48,90
45,48,90
46,51,90
47,55,90
48,60,90
49,65,90
50,69,0
